plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ engine_trig_fibres engine_data_fibres engine_ctrl_fibres
1 4 2 FI 502.320 290.020 0 6 502.300 193.300 586.000 241.700 586.000 338.400 502.300 386.700 418.600 338.400 418.600 241.700 502.300 193.300 1 1.000 6.000 2.068 3.000 2.210 3.000 3 0 False 6 7.200 0 30.000 1 104020 104021 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_2 C A PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 3 2 2
1 4 3 FI 418.600 435.020 1 6 418.600 338.400 502.300 386.700 502.300 483.400 418.600 531.700 334.900 483.400 334.900 386.700 418.600 338.400 1 1.000 5.000 1.971 3.000 2.087 3.000 2 0 False 6 7.200 0 46.102 1 104030 104031 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4 2 2
1 4 4 FI 334.880 580.029 1 6 418.645 531.714 418.579 628.400 334.921 676.700 251.155 628.414 251.171 531.641 334.829 483.341 418.645 531.714 2 1.000 5.000 1.738 2.000 1.808 2.000 100 0 True 6 7.200 0 60.000 1 104040 104041 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3 2 2
1 4 5 FI 251.158 725.038 1 6 334.921 676.700 334.855 773.386 251.197 821.686 167.432 773.400 167.497 676.714 251.155 628.414 334.921 676.700 2 1.000 4.000 1.484 2.000 1.512 2.000 101 0 True 6 7.200 0 70.894 1 104050 104051 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 4 6 FM 167.435 870.046 1 6 251.197 821.686 251.132 918.373 167.387 966.723 83.708 918.386 83.687 821.750 167.432 773.400 251.197 821.686 2 1.000 3.000 1.011 2.000 0.985 2.000 107 0 False 3 3.600 0 79.107 0 104060 104060 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 4 7 FO 83.722 1015.050 1 6 167.387 966.723 167.408 1063.359 83.663 1111.709 -0.016 1063.373 -0.037 966.736 83.708 918.386 167.387 966.723 2 1.000 3.000 0.834 1.000 0.793 1.000 110 0 False 3 3.600 0 85.285 0 104070 104070 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2 1 1
1 4 8 FO -0.001 1160.059 1 6 83.663 1111.709 83.734 1208.432 -0.010 1256.782 -83.739 1208.359 -83.760 1111.723 -0.016 1063.373 83.663 1111.709 2 1.000 3.000 0.690 1.000 0.658 1.000 111 0 True 3 3.600 0 90.000 0 104080 104080 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2 1 1
1 4 9 FO -83.718 1305.076 5 6 -0.010 1256.782 0.011 1353.418 -83.734 1401.768 -167.413 1353.432 -167.484 1256.709 -83.739 1208.359 -0.010 1256.782 2 1.000 2.000 0.563 1.000 0.549 1.000 111 0 False 3 3.600 0 93.670 0 104090 104090 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2 1 1
1 4 10 bOe -167.440 1450.085 2 5 -83.713 1498.405 -251.137 1498.418 -251.158 1401.782 -167.413 1353.432 -83.734 1401.768 -83.713 1498.405 0.000 0.000 2 1.000 2.000 0.382 1.000 0.382 1.000 111 0 False 3 3.600 0 96.587 0 104100 104100 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2 1 1
1 5 0 FM 837.200 0.000 0 6 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 753.500 -48.300 837.200 -96.700 1 1.000 4.000 1.109 2.000 1.086 2.000 9 0 False 3 3.600 0 0.000 0 105000 105000 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2 1 1
1 5 1 FI 753.480 145.010 0 6 753.500 48.300 837.200 96.700 837.200 193.300 753.500 241.700 669.800 193.300 669.800 96.700 753.500 48.300 1 1.000 4.000 1.484 2.000 1.512 2.000 1 0 True 6 7.200 0 10.894 1 105010 105011 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 5 2 FI 669.760 290.020 0 6 669.800 193.300 753.500 241.700 753.500 338.400 669.800 386.700 586.000 338.400 586.000 241.700 669.800 193.300 1 1.000 4.000 1.568 2.000 1.607 2.000 3 0 True 6 7.200 0 23.414 1 105020 105021 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 5 3 FI 586.040 435.020 1 6 586.000 338.400 669.800 386.700 669.800 483.400 586.000 531.700 502.300 483.400 502.300 386.700 586.000 338.400 1 1.000 4.000 1.568 2.000 1.605 2.000 3 0 False 6 7.200 0 36.587 1 105030 105031 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_2 C A PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 3 2 2
1 5 4 FI 502.320 580.030 1 6 502.300 483.400 586.000 531.700 586.000 628.400 502.300 676.700 418.600 628.400 418.600 531.700 502.300 483.400 1 1.000 4.000 1.479 2.000 1.507 2.000 2 0 True 6 7.200 0 49.107 1 105040 105041 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4 2 2
1 5 5 FM 418.600 725.036 1 6 502.345 676.686 502.279 773.373 418.621 821.673 334.855 773.386 334.921 676.700 418.579 628.400 502.345 676.686 2 1.000 4.000 1.109 2.000 1.086 2.000 109 0 False 3 3.600 0 60.000 0 105050 105050 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2 1 1
1 5 6 FO 334.878 870.045 1 6 418.621 821.673 418.555 918.359 334.897 966.659 251.132 918.373 251.197 821.686 334.855 773.386 418.621 821.673 2 1.000 3.000 0.957 1.000 0.911 1.000 108 0 False 3 3.600 0 68.948 0 105060 105060 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 5 7 FO 251.155 1015.054 1 6 334.897 966.659 334.882 1063.432 251.137 1111.782 167.408 1063.359 167.387 966.723 251.132 918.373 334.897 966.659 2 1.000 3.000 0.802 1.000 0.763 1.000 107 0 True 3 3.600 0 76.102 0 105070 105070 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 5 8 FO 167.447 1160.066 1 6 251.137 1111.782 251.158 1208.418 167.413 1256.768 83.734 1208.432 83.663 1111.709 167.408 1063.359 251.137 1111.782 2 1.000 3.000 0.677 1.000 0.646 1.000 110 0 True 3 3.600 0 81.787 0 105080 105080 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2 1 1
